Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9991573329588147,0.8205128205128205,0.6530612244897959,0.7272727272727273,0.9483258659400733
Random Forest,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367
XGBoost,0.9994908886626171,0.896551724137931,0.7959183673469388,0.8432432432432433,0.9220111106485362
